Timestamp,Flow,Density,Speed,Small,Heavy,truck_prop,CO2,PM2.5,CO,NO,NO2,O3,RH,TEMP,ws,wd,sinWD,cosWD,Month,date_local,time_local,Precipitation,Day of Week,timeinterval,Cardinal WD
1/1/2019 5:00,3965,54.24,73.1,3746,219,5.8,496,1,0.15,4.02,57.4,62.06,16.2,70.3,0.5,340,-0.342020143,0.939692621,January,1/1/2019,5:00,N,Tuesday,05:00 - 07:59,N
1/1/2019 6:00,4930,72.93,67.6,4583,347,7.4,480,1,0.15,8.04,67.65,66.34,16.3,69.6,0.8,313,-0.731353702,0.68199836,January,1/1/2019,6:00,N,Tuesday,05:00 - 07:59,NW
1/1/2019 7:00,4705,66.55,70.7,4450,255,5.7,471,1,0.14,5.36,61.5,70.62,16.2,69.1,0.8,286,-0.961261696,0.275637356,January,1/1/2019,7:00,N,Tuesday,05:00 - 07:59,W
1/1/2019 8:00,4434,65.88,67.3,4225,209,5,614,5,0.6,12.7,98.4,134.8,67.1,67.5,0.4,193,-0.224951054,-0.974370065,January,1/1/2019,8:00,N,Tuesday,08:00 - 10:59,S
1/1/2019 9:00,5430,80.92,67.1,5195,235,4.8,605,7,1.2,8.7,96.3,158.4,62,69.1,1.7,156,0.406736643,-0.913545458,January,1/1/2019,9:00,N,Tuesday,08:00 - 10:59,SE
1/1/2019 10:00,6090,91.3,66.7,5887,203,3.8,612,5,1.1,11.4,98.4,156.2,52.7,71.1,2.6,185,-0.087155743,-0.996194698,January,1/1/2019,10:00,N,Tuesday,08:00 - 10:59,S
1/1/2019 11:00,7603,122.04,62.3,7403,200,3.1,605,6,1.1,7.4,92.2,141.2,44.3,73,3.2,186,-0.104528463,-0.994521895,January,1/1/2019,11:00,N,Tuesday,11:00 - 13:59,S
1/1/2019 12:00,7689,371.45,20.7,7112,577,9.1,600,6,0.5,8.7,90.2,162.6,40.5,77.9,3.2,180,1.23E-16,-1,January,1/1/2019,12:00,N,Tuesday,11:00 - 13:59,S
1/1/2019 13:00,8362,206.98,40.4,8078,284,4,638,11,0.4,7.4,92.2,130.5,75.7,56.8,2.4,181,-0.017452406,-0.999847695,January,1/1/2019,13:00,N,Tuesday,11:00 - 13:59,S
1/1/2019 14:00,8683,138.93,62.5,8336,347,4.7,702,3,0.1,12.7,88.1,100.6,97.9,40.5,2.5,154,0.438371147,-0.898794046,January,1/1/2019,14:00,Y,Tuesday,14:00- 16:59,SE
1/1/2019 15:00,8028,127.43,63,7725,303,4.4,634,11,0.3,10,84,126.3,75,57.2,2.6,162,0.309016994,-0.951056516,January,1/1/2019,15:00,N,Tuesday,14:00- 16:59,S
1/1/2019 16:00,6130,91.9,66.7,5930,200,3.6,647,13,0.4,14.1,94.3,154.1,72.5,59.2,1.2,170,0.173648178,-0.984807753,January,1/1/2019,16:00,N,Tuesday,14:00- 16:59,S
1/1/2019 17:00,7747,186.67,41.5,7402,345,5.2,629,10,0.5,7.4,90.2,166.9,66.1,61.7,0.5,269,-0.999847695,-0.017452406,January,1/1/2019,17:00,N,Tuesday,17:00 - 19:59,W
1/1/2019 18:00,6709,156.75,42.8,6466,243,4.1,620,11,1.1,6,98.4,179.8,60,64,2.4,324,-0.587785252,0.809016994,January,1/1/2019,18:00,N,Tuesday,17:00 - 19:59,NW
